# form	books	analysis — tools/oracle.py
# forms apertium-kaz generates that this recogniser refuses.
# `books` is how many of the 3,860 editions write it: 0 means the
# disagreement is probably apertium's rather than ours.
шақырыңыздар	7	шақыр<v><tv><imp><p2><frm><pl>
шақырғанбыз	5	шақыр<v><tv><past><p1><pl>
шақырың	5	шақыр<v><tv><imp><p2><frm><sg>
шақыратынбыз	3	шақыр<v><tv><pih><p1><pl>
шақырылғанбыз	3	шақыр<v><tv><pass><past><p1><pl>
жақсылардікінге	0	жақсы<adj><subst><pl><gen><subst><dat>
жақсыларымдікінге	0	жақсы<adj><subst><pl><px1sg><gen><subst><dat>
жақсыларымыздікінге	0	жақсы<adj><subst><pl><px1pl><gen><subst><dat>
жақсыларыңдардікінге	0	жақсы<adj><subst><pl><px2pl><gen><subst><dat>
жақсыларыңдікінге	0	жақсы<adj><subst><pl><px2sg><gen><subst><dat>
жақсыларыннікі	0	жақсы<adj><subst><pl><px3sp><gen><subst><nom>
жақсыларыннікілерге	0	жақсы<adj><subst><pl><px3sp><gen><subst><pl><dat>
жақсыларыннікілерде	0	жақсы<adj><subst><pl><px3sp><gen><subst><pl><loc>
жақсыларыннікілерден	0	жақсы<adj><subst><pl><px3sp><gen><subst><pl><abl>
жақсыларыннікілерді	0	жақсы<adj><subst><pl><px3sp><gen><subst><pl><acc>
жақсыларыннікілердің	0	жақсы<adj><subst><pl><px3sp><gen><subst><pl><gen>
жақсыларыннікілер	0	жақсы<adj><subst><pl><px3sp><gen><subst><pl><nom>
жақсыларыннікілермен	0	жақсы<adj><subst><pl><px3sp><gen><subst><pl><ins>
жақсыларыннікімен	0	жақсы<adj><subst><pl><px3sp><gen><subst><ins>
жақсыларыннікінге	0	жақсы<adj><subst><pl><px3sp><gen><subst><dat>
жақсыларыннікінде	0	жақсы<adj><subst><pl><px3sp><gen><subst><loc>
жақсыларыннікінен	0	жақсы<adj><subst><pl><px3sp><gen><subst><abl>
жақсыларыннікін	0	жақсы<adj><subst><pl><px3sp><gen><subst><acc>
жақсыларыннікінің	0	жақсы<adj><subst><pl><px3sp><gen><subst><gen>
жақсыларыңыздардікінге	0	жақсы<adj><subst><pl><px2pl><frm><gen><subst><dat>
жақсыларыңыздікінге	0	жақсы<adj><subst><pl><px2sg><frm><gen><subst><dat>
жақсымдікінге	0	жақсы<adj><subst><px1sg><gen><subst><dat>
жақсымыздікінге	0	жақсы<adj><subst><px1pl><gen><subst><dat>
жақсыңдардікінге	0	жақсы<adj><subst><px2pl><gen><subst><dat>
жақсыңдікінге	0	жақсы<adj><subst><px2sg><gen><subst><dat>
жақсынікінге	0	жақсы<adj><subst><gen><subst><dat>
жақсыңыздардікінге	0	жақсы<adj><subst><px2pl><frm><gen><subst><dat>
жақсыңыздікінге	0	жақсы<adj><subst><px2sg><frm><gen><subst><dat>
жақсырағымдікінге	0	жақсы<adj><comp><subst><px1sg><gen><subst><dat>
жақсырағымыздікінге	0	жақсы<adj><comp><subst><px1pl><gen><subst><dat>
жақсырағыңдардікінге	0	жақсы<adj><comp><subst><px2pl><gen><subst><dat>
жақсырағыңдікінге	0	жақсы<adj><comp><subst><px2sg><gen><subst><dat>
жақсырағыннікі	0	жақсы<adj><comp><subst><px3sp><gen><subst><nom>
жақсырағыннікілерге	0	жақсы<adj><comp><subst><px3sp><gen><subst><pl><dat>
